mode,prune,epoch,train_loss,train_acc,test_loss,test_acc,time
lstm_prune_i2h,70,2,0.0003183578451739777,1.0,9.636580944061279e-05,1.0,44.65681326900085
lstm_prune_i2h,70,3,0.00024724105995233003,1.0,5.348920822711989e-05,1.0,45.03709996799989
lstm_prune_i2h,70,4,9.225308895111084e-05,1.0,6.723403931374605e-06,1.0,44.94542901400018
lstm_prune_i2h,70,5,1.068413257598877e-05,1.0,1.9371509552001953e-06,1.0,45.147700733999955
lstm_prune_i2h,70,6,5.976080093008932,0.9985066666666667,0.17908761574653909,1.0,44.958755712999846
lstm_prune_i2h,70,7,1.6952157948107924,0.99952,0.04439837337122299,1.0,45.023329461000685
lstm_prune_i2h,70,8,0.06741832891930244,1.0,0.015118387342226924,1.0,44.64746945400111
lstm_prune_i2h,70,9,0.027674159904563567,1.0,0.006929618120921077,1.0,45.26291779600069
lstm_prune_i2h,70,10,0.01619131341612956,1.0,0.00457009375168127,1.0,46.47440142300002
lstm_prune_i2h,80,0,0.0,0.0,151.51237328276034,0.9456,4.379883473000518
lstm_prune_i2h,80,1,3.238637007027137,0.9995733333333333,0.09291246235443396,0.99984,45.40807004100134
lstm_prune_i2h,80,2,5.203452097441186,0.9987733333333333,0.02641280814714264,1.0,45.73303551999925
lstm_prune_i2h,80,3,0.041190484414983075,1.0,0.007900832591985818,1.0,44.87581682199925
lstm_prune_i2h,80,4,0.016355414192730677,1.0,0.00418719202207285,1.0,44.7580818360002
lstm_prune_i2h,80,5,0.009251047670659318,1.0,0.0024927601216404582,1.0,44.49406399399959
lstm_prune_i2h,80,6,0.005859801670339948,1.0,0.001584386825470574,1.0,44.89886981000018
lstm_prune_i2h,80,7,0.0039037639894559106,1.0,0.0011094480751125957,1.0,44.775604239999666
lstm_prune_i2h,80,8,0.002745440602211602,1.0,0.0008253395558313059,1.0,44.60053671700007
lstm_prune_i2h,80,9,0.0019663795828819275,1.0,0.000619459152176205,1.0,44.895331633999376
lstm_prune_i2h,80,10,0.0014808510740067504,1.0,0.0004025593400456273,1.0,44.906624089000616
lstm_prune_i2h,90,0,0.0,0.0,946.840616941452,0.62128,4.215612563999457
lstm_prune_i2h,90,1,36.01902450007037,0.9930666666666667,0.03383984490938019,1.0,45.41550268500032
lstm_prune_i2h,90,2,0.06462965893297223,1.0,0.012605623152921908,1.0,44.97948602699944
lstm_prune_i2h,90,3,2.89252587989904,0.9992533333333333,0.9183914318564348,0.99936,45.378702206000526
lstm_prune_i2h,90,4,0.8603300195172778,0.9997333333333334,0.013489678502082825,1.0,44.730922198999906
lstm_prune_i2h,90,5,0.028821418061852455,1.0,0.005927155167228193,1.0,44.97853232899979
lstm_prune_i2h,90,6,0.011037235954972857,1.0,0.0032983198761940002,1.0,44.38040626500151
lstm_prune_i2h,90,7,0.006618069609430677,1.0,0.0017613410946069052,1.0,44.35056298899872
lstm_prune_i2h,90,8,0.0044508695600598,1.0,0.0015474915503546072,1.0,44.07537581699944
lstm_prune_i2h,90,9,0.6522003613645211,0.9997866666666667,0.2930633935611695,1.0,43.844545604000814
lstm_prune_i2h,90,10,2.7564949577681546,0.9992533333333333,0.012656372786295833,1.0,44.40262437400088
lstm_prune_i2h,100,0,0.0,0.0,196.89966249465942,0.50576,4.132342763999986
lstm_prune_i2h,100,1,407.434638440609,0.49882666666666664,135.94716495275497,0.50576,44.14738954099994
lstm_prune_i2h,100,2,406.6564237475395,0.4966933333333333,135.84874206781387,0.50576,44.12562093899942
lstm_prune_i2h,100,3,406.66701513528824,0.50096,135.92207783460617,0.50576,44.19806654200147
lstm_prune_i2h,100,4,406.471510887146,0.4991466666666667,136.57558923959732,0.50576,44.22486820300037
lstm_prune_i2h,100,5,406.53645771741867,0.49904,136.12629050016403,0.50576,44.070037930998296
lstm_prune_i2h,100,6,406.57188189029694,0.4979733333333333,135.96560221910477,0.49424,44.004202262000035
lstm_prune_i2h,100,7,406.3937838077545,0.5004266666666667,136.16574907302856,0.49424,44.61748474400156
lstm_prune_i2h,100,8,406.40238094329834,0.50128,136.23540353775024,0.49424,44.179623218000415
lstm_prune_i2h,100,9,406.4105377793312,0.5002133333333333,136.0422835946083,0.49424,44.20429194999997
lstm_prune_i2h,100,10,406.40665024518967,0.49861333333333335,135.92754673957825,0.49424,44.29934423099985
lstm_prune_h2h,10,0,0.0,0.0,1.341104507446289e-07,1.0,4.1304128209994815
lstm_prune_h2h,10,1,0.0,1.0,0.0,1.0,44.46120312599851
lstm_prune_h2h,10,2,1.4901161193847656e-08,1.0,0.0,1.0,44.25914986299904
lstm_prune_h2h,10,3,0.0,1.0,0.0,1.0,44.68503988399971
lstm_prune_h2h,10,4,0.0,1.0,0.0,1.0,45.02574371400078
lstm_prune_h2h,10,5,0.0,1.0,0.0,1.0,44.71631250599967
lstm_prune_h2h,10,6,1.4901161193847656e-08,1.0,0.0,1.0,45.28573491099996
lstm_prune_h2h,10,7,0.0,1.0,0.0,1.0,44.86670779300039
lstm_prune_h2h,10,8,0.0,1.0,2.9802322387695312e-08,1.0,44.79238486400027
lstm_prune_h2h,10,9,0.0,1.0,0.0,1.0,44.81029353800113
lstm_prune_h2h,10,10,0.0,1.0,0.0,1.0,46.7258575550004
lstm_prune_h2h,20,0,0.0,0.0,1.341104507446289e-07,1.0,4.43046532399967
lstm_prune_h2h,20,1,2.086162567138672e-07,1.0,0.0,1.0,45.67283889099963
lstm_prune_h2h,20,2,0.0,1.0,0.0,1.0,44.77092090400038
lstm_prune_h2h,20,3,0.0,1.0,0.0,1.0,45.30658543000027
lstm_prune_h2h,20,4,0.0,1.0,0.0,1.0,44.59426033700038
lstm_prune_h2h,20,5,0.0,1.0,0.0,1.0,44.47421727100118
lstm_prune_h2h,20,6,0.0,1.0,0.0,1.0,43.93918858000143
lstm_prune_h2h,20,7,0.0,1.0,0.0,1.0,44.29564710200066
lstm_prune_h2h,20,8,0.0,1.0,0.0,1.0,44.29764510700079
lstm_prune_h2h,20,9,0.0,1.0,0.0,1.0,43.84067653400052
lstm_prune_h2h,20,10,0.0,1.0,0.0,1.0,43.952366024001094
lstm_prune_h2h,30,0,0.0,0.0,5.550682544708252e-06,1.0,4.165228608000689
lstm_prune_h2h,30,1,4.470348358154297e-08,1.0,0.0,1.0,44.35266172299998
lstm_prune_h2h,30,2,1.4901161193847656e-08,1.0,0.0,1.0,44.29574325900103
lstm_prune_h2h,30,3,0.0,1.0,0.0,1.0,43.84289958500085
lstm_prune_h2h,30,4,0.0,1.0,0.0,1.0,44.084625333000076
lstm_prune_h2h,30,5,0.0,1.0,0.0,1.0,44.176509312001144
lstm_prune_h2h,30,6,0.0,1.0,4.470348358154297e-08,1.0,44.051600716000394
lstm_prune_h2h,30,7,0.0,1.0,0.0,1.0,43.698102007998386
lstm_prune_h2h,30,8,0.0,1.0,0.0,1.0,44.012625984001716
lstm_prune_h2h,30,9,0.0,1.0,0.0,1.0,43.81952351499967
lstm_prune_h2h,30,10,0.0,1.0,0.0,1.0,44.00188112700016
